brand,model,year,transmission,mileage,fuelType,tax,mpg,engineSize,price
Ford,Puma,2010,Automatic,47342,Hybrid,555,76.4,1.6,11043.65
Vauxhall,Crossland X,2023,Semi-Auto,21575,Hybrid,20,72.4,1.9,21442.1
Mercedes,E Class,2012,Semi-Auto,66989,Electric,150,47.2,1.9,24992.99
Ford,Puma,2011,Semi-Auto,41537,Hybrid,145,74.6,1.3,13688.89
VW,Polo,2021,Manual,7954,Petrol,125,43.3,1.4,18232.33
Vauxhall,Insignia,2020,Semi-Auto,17591,Petrol,125,35.0,1.1,16801.14
Mercedes,GLC Class,2023,Semi-Auto,25889,Electric,150,40.5,2.2,34679.5
Skoda,Karoq,2019,Semi-Auto,13757,Hybrid,125,40.4,1.3,17809.77
Skoda,Citigo,2022,Automatic,6525,Diesel,145,68.2,1.2,20821.8
VW,Tiguan,2014,Manual,27184,Diesel,145,51.2,1.4,15037.36
Audi,Q7,2009,Semi-Auto,44139,Petrol,30,49.9,2.9,20432.63
Vauxhall,Corsa,2005,Automatic,77546,Hybrid,30,54.8,1.5,2707.39
Audi,A6,2020,Manual,30108,Petrol,0,28.3,1.8,26927.16
Ford,Focus,2023,Semi-Auto,5416,Petrol,205,30.3,2.0,20601.12
Hyundai,Ioniq,2021,Semi-Auto,13872,Electric,205,38.4,1.9,19809.81
Mercedes,GLA Class,2006,Automatic,88839,Petrol,125,34.4,2.9,22538.9
Mercedes,GLC Class,2007,Manual,69436,Diesel,0,38.4,1.6,17227.75
Toyota,C-HR,2020,Semi-Auto,18168,Petrol,555,56.8,1.3,20183.99
BMW,4 Series,2013,Automatic,36163,Diesel,30,59.5,2.1,26004.52
Mercedes,B Class,2007,Manual,67946,Diesel,145,61.8,2.6,21228.11
Vauxhall,Corsa,2019,Automatic,43676,Hybrid,555,77.4,1.7,20843.03
Vauxhall,Corsa,2006,Semi-Auto,64565,Hybrid,125,36.2,1.6,4161.57
Audi,A6,2023,Manual,4344,Diesel,145,64.3,1.9,29393.06
Ford,EcoSport,2018,Automatic,15492,Electric,205,46.2,2.0,20093.86
Skoda,Octavia,2008,Manual,65739,Hybrid,205,57.3,1.4,6597.87
VW,Polo,2019,Manual,80016,Hybrid,205,40.2,1.4,16993.93
VW,Touareg,2005,Automatic,120274,Electric,150,33.4,1.6,4450.83
Vauxhall,Insignia,2019,Manual,21725,Diesel,145,40.9,1.3,16057.71
Vauxhall,Insignia,2020,Manual,47094,Petrol,125,52.4,2.0,16147.92
Ford,Kuga,2022,Manual,19274,Electric,20,69.7,1.1,18847.22
Vauxhall,Corsa,2009,Semi-Auto,97025,Hybrid,555,47.3,1.5,6314.34
Vauxhall,Astra,2019,Automatic,14044,Diesel,30,76.5,1.4,19789.2
BMW,5 Series,2018,Semi-Auto,34090,Hybrid,145,47.7,2.7,30427.21
Vauxhall,Astra,2019,Automatic,39000,Electric,205,49.8,1.3,15935.63
Vauxhall,Mokka,2011,Automatic,59881,Diesel,205,45.5,1.6,8317.76
Audi,Q2,2020,Automatic,15951,Electric,30,54.9,1.8,29926.88
Vauxhall,Corsa,2009,Automatic,75147,Hybrid,555,74.3,1.9,9389.93
BMW,X5,2005,Automatic,102892,Diesel,30,64.5,2.1,17006.89
BMW,X5,2013,Semi-Auto,44321,Electric,205,63.3,2.5,26544.2
Skoda,Karoq,2020,Automatic,29994,Petrol,145,35.6,1.6,18276.95
Hyundai,Santa Fe,2007,Semi-Auto,72211,Petrol,20,56.7,1.8,6513.43
Vauxhall,Astra,2014,Manual,35249,Petrol,150,27.5,1.3,10528.95
Skoda,Superb,2009,Manual,51418,Electric,30,60.7,1.6,8776.49
Ford,Fiesta,2017,Automatic,18732,Diesel,125,61.2,1.5,16196.93
Vauxhall,Insignia,2013,Semi-Auto,42532,Hybrid,555,75.5,1.7,9592.84
Mercedes,GLC Class,2022,Manual,20872,Petrol,145,40.6,2.1,33470.61
Toyota,Land Cruiser,2013,Semi-Auto,30619,Hybrid,555,52.3,1.3,12828.69
BMW,4 Series,2017,Automatic,32773,Hybrid,145,79.7,2.4,29206.03
Audi,Q3,2013,Manual,59392,Petrol,145,58.5,2.8,23632.73
Hyundai,Kona,2016,Manual,22784,Diesel,30,65.5,1.6,13156.43
BMW,1 Series,2014,Semi-Auto,28061,Petrol,20,58.0,2.4,28565.01
Mercedes,C Class,2018,Manual,35290,Diesel,150,59.3,1.5,30682.4
VW,Tiguan,2013,Manual,55899,Hybrid,145,77.5,2.4,15666.2
Skoda,Kodiaq,2008,Semi-Auto,52800,Petrol,205,68.5,1.1,7251.49
VW,T-Cross,2007,Semi-Auto,79713,Petrol,150,30.6,1.4,5693.21
Mercedes,GLA Class,2017,Automatic,19634,Hybrid,0,45.5,1.5,26723.02
VW,T-Cross,2012,Automatic,33513,Petrol,145,45.9,2.0,13645.43
Toyota,Aygo,2009,Manual,45806,Petrol,20,47.2,1.5,12585.38
Hyundai,Kona,2009,Semi-Auto,45402,Electric,205,67.7,1.4,8350.26
Ford,Puma,2008,Semi-Auto,70076,Electric,150,37.6,1.9,5841.05
Hyundai,Tucson,2019,Manual,33587,Hybrid,150,65.9,1.1,15972.15
Audi,Q3,2013,Manual,48920,Petrol,20,62.1,2.9,25627.02
Hyundai,Santa Fe,2005,Manual,64880,Hybrid,125,40.7,1.2,1997.71
BMW,4 Series,2023,Manual,28363,Diesel,0,41.6,2.0,29861.21
Mercedes,B Class,2009,Automatic,42289,Hybrid,0,39.9,2.7,24193.46
Ford,Fiesta,2016,Manual,23059,Hybrid,30,46.9,1.0,15861.64
Toyota,RAV4,2008,Automatic,58530,Petrol,20,60.0,1.7,9740.17
Vauxhall,Grandland X,2012,Automatic,44377,Petrol,145,65.9,1.7,11469.55
Vauxhall,Insignia,2005,Manual,64166,Electric,20,44.2,1.8,5852.7
Vauxhall,Insignia,2019,Manual,12927,Petrol,30,31.7,1.3,16701.11
Mercedes,GLA Class,2023,Automatic,9387,Hybrid,145,61.9,1.9,35395.6
Vauxhall,Grandland X,2018,Manual,53826,Petrol,125,54.3,1.9,18081.82
Toyota,C-HR,2012,Semi-Auto,54499,Hybrid,20,52.9,2.2,14409.08
Skoda,Superb,2015,Automatic,41626,Hybrid,555,41.9,1.4,13681.3
BMW,2 Series,2007,Manual,104345,Electric,30,58.2,1.6,13538.8
VW,Polo,2023,Automatic,20616,Hybrid,205,53.5,2.0,25523.17
Audi,A6,2014,Semi-Auto,39259,Petrol,555,34.6,2.2,22984.45
Hyundai,Ioniq,2008,Semi-Auto,54758,Hybrid,125,47.5,1.1,5617.43
Toyota,Prius,2022,Automatic,67981,Petrol,145,54.6,1.9,21964.85
Audi,A4,2013,Automatic,37683,Hybrid,30,50.8,2.8,24642.63
Ford,EcoSport,2017,Manual,55270,Diesel,20,78.7,1.7,15406.22
VW,Golf,2017,Semi-Auto,41863,Electric,150,41.7,1.5,15518.52
BMW,1 Series,2009,Manual,61827,Petrol,205,37.2,2.5,20745.61
Vauxhall,Grandland X,2019,Semi-Auto,44539,Hybrid,150,58.1,1.2,15404.41
Toyota,Aygo,2014,Automatic,33626,Electric,125,38.9,1.8,17120.3
Toyota,RAV4,2006,Manual,83884,Diesel,30,44.5,1.5,6116.33
Mercedes,C Class,2015,Manual,117140,Petrol,30,44.4,2.1,22522.59
Toyota,RAV4,2012,Automatic,62959,Hybrid,0,73.8,1.1,11810.55
Toyota,Aygo,2019,Manual,20334,Hybrid,205,60.8,1.9,22627.41
Mercedes,A Class,2017,Manual,46092,Hybrid,555,77.6,1.6,27617.82
Skoda,Citigo,2018,Manual,17176,Diesel,20,53.0,1.4,16089.3
Toyota,Prius,2014,Automatic,62026,Hybrid,20,70.1,1.3,16409.34
VW,Passat,2008,Automatic,52714,Diesel,30,50.7,2.4,11652.51
Hyundai,i10,2009,Semi-Auto,42217,Diesel,20,41.9,1.2,7815.26
Ford,Galaxy,2020,Semi-Auto,56158,Electric,150,64.7,1.7,17781.01
Skoda,Fabia,2019,Manual,71939,Electric,145,38.6,1.4,14064.12
Audi,Q2,2021,Manual,66158,Hybrid,150,36.7,1.9,28561.04
Mercedes,A Class,2007,Automatic,59900,Electric,0,49.9,2.1,22428.27
Vauxhall,Grandland X,2011,Semi-Auto,42940,Electric,555,68.1,1.5,10850.71
BMW,X1,2007,Automatic,75916,Diesel,555,66.8,1.6,16490.53
VW,Tiguan,2010,Semi-Auto,70363,Hybrid,150,52.4,2.4,11222.13
Audi,Q2,2007,Semi-Auto,63949,Petrol,145,42.4,2.1,15792.95
Ford,Kuga,2007,Automatic,59651,Diesel,205,49.0,1.9,8259.56
Ford,EcoSport,2007,Semi-Auto,50490,Electric,30,39.8,1.6,7843.88
VW,Polo,2018,Automatic,18086,Hybrid,125,48.9,1.0,18161.03
Skoda,Kodiaq,2020,Manual,11132,Diesel,145,42.0,2.0,20655.5
BMW,1 Series,2015,Automatic,25757,Diesel,30,41.9,2.4,26564.33
Ford,Mondeo,2019,Manual,46503,Electric,555,57.4,1.4,16871.5
Mercedes,GLC Class,2019,Manual,36499,Diesel,555,71.4,1.8,31732.26
Hyundai,i30,2023,Semi-Auto,58843,Electric,205,60.0,1.8,18961.85
Ford,Galaxy,2011,Automatic,121375,Diesel,555,37.3,1.9,8830.68
Skoda,Kamiq,2008,Automatic,46743,Petrol,145,59.3,1.3,9758.84
Vauxhall,Grandland X,2009,Semi-Auto,72024,Petrol,555,35.0,1.9,4494.79
Skoda,Citigo,2018,Manual,62364,Electric,20,35.6,1.5,16331.12
Skoda,Fabia,2005,Semi-Auto,56357,Petrol,30,54.2,1.8,5172.5
Ford,Fiesta,2014,Semi-Auto,39647,Diesel,0,56.1,1.8,13788.11
BMW,1 Series,2013,Manual,31159,Diesel,205,67.7,2.3,26371.6
BMW,5 Series,2012,Semi-Auto,50511,Petrol,555,43.9,1.6,21926.71
BMW,2 Series,2020,Automatic,74494,Petrol,30,50.9,2.4,28157.45
Mercedes,E Class,2005,Automatic,94590,Hybrid,20,53.7,1.7,16610.34
VW,T-Cross,2007,Automatic,53061,Petrol,205,46.2,1.6,9077.75
Skoda,Octavia,2005,Semi-Auto,153136,Petrol,20,58.0,1.3,2676.13
Skoda,Fabia,2006,Semi-Auto,52533,Hybrid,555,42.9,1.8,6679.36
Vauxhall,Insignia,2010,Manual,53808,Petrol,0,67.5,1.7,8825.98
Mercedes,B Class,2006,Manual,70852,Petrol,205,39.0,1.8,17426.11
VW,T-Roc,2013,Manual,49753,Diesel,0,73.8,1.4,15453.37
Skoda,Octavia,2008,Semi-Auto,62556,Electric,205,58.4,1.9,7992.2
Skoda,Fabia,2020,Automatic,28358,Electric,145,60.9,1.4,19747.83
BMW,X3,2007,Semi-Auto,54497,Diesel,20,49.5,2.3,18610.82
Skoda,Karoq,2014,Semi-Auto,35719,Electric,555,44.2,1.6,10928.36
Skoda,Superb,2006,Automatic,68524,Hybrid,0,54.6,1.6,4187.03
BMW,X3,2016,Automatic,54618,Diesel,555,41.4,2.9,28688.43
Audi,A4,2007,Manual,71086,Hybrid,0,77.7,1.7,16538.78
Ford,Mondeo,2019,Semi-Auto,22834,Hybrid,30,38.5,1.4,18541.97
VW,T-Cross,2017,Semi-Auto,71980,Hybrid,30,40.1,1.4,14655.27
Vauxhall,Grandland X,2017,Automatic,51272,Petrol,555,36.7,1.3,13174.17
Hyundai,Kona,2014,Automatic,114285,Electric,20,31.1,1.2,9659.02
Vauxhall,Astra,2019,Manual,21589,Hybrid,145,66.9,1.7,15592.51
Mercedes,B Class,2010,Semi-Auto,109074,Diesel,30,44.0,1.5,19728.54
Hyundai,Ioniq,2020,Manual,21648,Hybrid,30,51.6,1.6,17833.03
BMW,2 Series,2014,Semi-Auto,37716,Electric,20,59.6,2.3,25076.17
Ford,Kuga,2007,Semi-Auto,88008,Electric,30,40.5,1.7,5958.18
Ford,Puma,2021,Manual,39522,Petrol,30,38.7,1.5,19944.82
Skoda,Karoq,2012,Semi-Auto,90923,Hybrid,145,46.3,1.8,10236.26
Ford,Mondeo,2014,Automatic,64895,Petrol,30,32.6,1.5,12205.52
Ford,Mondeo,2015,Automatic,26765,Petrol,0,26.3,1.8,13167.1
Mercedes,GLC Class,2011,Automatic,97604,Electric,145,26.4,2.4,21621.57
Mercedes,E Class,2012,Automatic,55276,Electric,0,28.3,1.8,24533.31
Ford,Puma,2018,Semi-Auto,34253,Electric,150,52.3,1.2,14547.94
Skoda,Karoq,2016,Semi-Auto,43268,Diesel,20,58.2,1.8,14483.32
Skoda,Fabia,2019,Manual,26692,Hybrid,0,41.3,1.4,16376.07
Mercedes,E Class,2018,Manual,53235,Diesel,150,77.0,2.7,33324.47
Hyundai,Ioniq,2010,Semi-Auto,55055,Electric,0,38.9,1.5,9097.25
BMW,X3,2021,Semi-Auto,16332,Diesel,0,50.9,1.8,30136.35
Mercedes,E Class,2020,Semi-Auto,11877,Petrol,145,44.4,2.7,35112.54
Skoda,Kodiaq,2017,Semi-Auto,22789,Petrol,125,50.7,1.4,16090.72
Skoda,Kamiq,2014,Manual,29932,Electric,145,59.4,1.5,10856.99
BMW,3 Series,2008,Semi-Auto,56506,Hybrid,150,50.3,2.7,22297.03
Ford,Focus,2021,Semi-Auto,52901,Petrol,150,31.2,1.0,16489.13
Vauxhall,Grandland X,2019,Manual,42617,Diesel,30,62.6,1.3,12544.45
Toyota,RAV4,2014,Automatic,37101,Hybrid,555,57.9,1.8,18101.83
Mercedes,E Class,2005,Semi-Auto,113723,Hybrid,145,79.1,2.4,18958.15
Audi,Q5,2013,Automatic,33181,Diesel,30,61.3,2.4,23825.91
VW,Passat,2017,Manual,23974,Diesel,20,77.7,1.0,17267.47
Hyundai,i10,2019,Semi-Auto,24291,Electric,205,56.1,1.2,15746.83
VW,Touareg,2020,Automatic,16972,Petrol,150,48.3,2.1,22273.58
Vauxhall,Grandland X,2017,Semi-Auto,38069,Diesel,150,59.0,1.5,13930.44
Mercedes,GLA Class,2020,Manual,11759,Diesel,145,48.4,1.8,31108.87
Mercedes,GLC Class,2011,Automatic,38740,Electric,145,40.7,1.8,22637.3
Mercedes,A Class,2023,Automatic,8482,Electric,150,42.8,2.8,37614.75
Ford,Kuga,2006,Semi-Auto,96419,Petrol,145,44.9,1.3,6570.54
Vauxhall,Astra,2011,Automatic,39782,Hybrid,30,66.3,1.9,11062.31
BMW,4 Series,2012,Manual,37271,Diesel,205,37.4,2.5,22475.27
Skoda,Karoq,2020,Manual,10857,Diesel,30,59.8,1.0,16397.46
Toyota,Land Cruiser,2020,Semi-Auto,11571,Diesel,145,47.9,2.1,20218.96
Audi,A3,2023,Manual,9059,Petrol,30,32.9,2.8,31485.39
Audi,Q3,2020,Manual,23000,Hybrid,20,35.4,2.8,28849.66
Skoda,Octavia,2019,Automatic,44129,Electric,555,31.0,1.9,17706.69
Mercedes,B Class,2008,Semi-Auto,64771,Diesel,30,64.2,2.5,23254.5
Audi,Q2,2014,Automatic,54587,Diesel,205,73.5,1.4,21122.95
Toyota,RAV4,2015,Manual,28079,Electric,30,33.3,2.0,16099.89
Vauxhall,Mokka,2012,Manual,46253,Hybrid,145,55.1,1.4,7991.75
Skoda,Octavia,2023,Automatic,19260,Petrol,125,41.2,1.3,19656.37
Audi,A3,2019,Semi-Auto,39524,Diesel,145,57.6,1.8,23211.72
BMW,5 Series,2016,Automatic,21747,Diesel,30,41.0,1.8,27499.27
Vauxhall,Insignia,2016,Semi-Auto,66115,Electric,125,61.1,1.8,12064.03
Hyundai,Santa Fe,2007,Automatic,62335,Electric,20,41.3,1.5,5152.23
Audi,Q7,2021,Manual,17862,Diesel,555,73.5,1.3,27414.52
BMW,4 Series,2023,Semi-Auto,15212,Petrol,0,45.0,2.8,32921.03
Vauxhall,Astra,2021,Semi-Auto,15473,Electric,145,50.1,1.6,16853.36
Audi,Q3,2013,Manual,30405,Diesel,150,37.0,2.2,20424.33
BMW,1 Series,2007,Semi-Auto,55934,Petrol,30,33.1,1.9,16479.73
Toyota,Corolla,2017,Semi-Auto,20551,Electric,30,55.7,1.6,18516.34
Skoda,Citigo,2010,Automatic,61732,Electric,125,57.8,1.5,10824.72
Audi,A1,2014,Semi-Auto,58134,Electric,125,62.1,2.1,21120.21
Vauxhall,Mokka,2009,Semi-Auto,57405,Diesel,20,67.6,1.9,8351.89
Audi,Q3,2005,Manual,71678,Diesel,555,61.7,1.1,11522.05
Audi,A5,2006,Semi-Auto,53729,Electric,0,34.8,1.5,15480.58
Ford,EcoSport,2014,Manual,33675,Hybrid,150,69.8,1.6,15558.63
Hyundai,i30,2009,Automatic,58915,Diesel,30,47.4,1.4,6382.97
Toyota,RAV4,2020,Manual,17804,Hybrid,150,65.2,2.4,23055.11
Toyota,C-HR,2009,Semi-Auto,47415,Electric,125,49.2,1.3,10256.39
Hyundai,i30,2009,Semi-Auto,44146,Petrol,30,68.6,1.6,7983.89
Toyota,Yaris,2013,Manual,33503,Hybrid,150,76.5,2.0,15538.72
BMW,4 Series,2006,Semi-Auto,55129,Electric,20,52.1,2.5,17564.83
Hyundai,Ioniq,2023,Automatic,45415,Diesel,150,74.1,1.5,19956.35
Mercedes,A Class,2011,Manual,37672,Petrol,125,58.9,2.6,22533.53
Hyundai,Tucson,2012,Automatic,113772,Hybrid,150,52.1,1.8,10671.41
Mercedes,C Class,2016,Automatic,23376,Electric,555,61.1,2.1,30250.02
Skoda,Fabia,2016,Semi-Auto,61124,Electric,30,63.9,1.0,12381.39
Audi,A6,2022,Automatic,36973,Electric,125,33.8,1.6,27236.01
Toyota,RAV4,2012,Semi-Auto,55091,Hybrid,555,72.0,1.4,12568.17
Vauxhall,Astra,2016,Manual,74007,Diesel,0,57.0,1.7,15091.77
VW,Polo,2007,Automatic,54569,Petrol,125,43.6,2.1,12064.46
BMW,3 Series,2005,Manual,83349,Electric,555,52.8,2.1,15256.06
Vauxhall,Corsa,2005,Automatic,65082,Electric,145,48.8,1.0,1909.08
VW,T-Cross,2005,Automatic,68169,Electric,20,65.9,2.2,8481.59
BMW,3 Series,2012,Manual,51863,Hybrid,205,47.0,2.7,23436.05
BMW,X1,2017,Semi-Auto,24811,Diesel,20,45.2,3.0,27944.7
Audi,A3,2017,Semi-Auto,31122,Electric,0,27.5,2.1,24662.63
Ford,Fiesta,2020,Semi-Auto,24210,Hybrid,20,73.6,1.6,18903.44
VW,Polo,2012,Manual,35886,Electric,145,66.6,1.4,12132.47
VW,Tiguan,2006,Manual,52309,Hybrid,30,44.3,1.0,4937.37
Toyota,Aygo,2014,Manual,49882,Diesel,150,73.2,1.9,17161.84
Toyota,Prius,2009,Automatic,70561,Petrol,0,68.8,1.8,11379.16
BMW,X3,2012,Manual,43615,Hybrid,205,62.6,2.4,26690.17
Skoda,Citigo,2013,Semi-Auto,38580,Electric,205,49.9,1.2,11043.28
Toyota,Yaris,2023,Automatic,3999,Electric,125,52.8,1.1,23321.3
BMW,2 Series,2013,Manual,31376,Electric,205,53.5,2.6,25749.37
Skoda,Octavia,2008,Manual,81881,Petrol,145,45.0,1.9,9039.73
BMW,3 Series,2007,Manual,51011,Electric,205,50.0,2.2,17956.25
BMW,1 Series,2007,Semi-Auto,51574,Petrol,205,60.3,2.4,20167.77
Audi,A6,2018,Semi-Auto,18588,Petrol,125,50.2,2.4,27600.54
VW,Golf,2017,Manual,32807,Diesel,30,47.1,1.4,17370.7
BMW,3 Series,2018,Semi-Auto,23889,Electric,150,60.2,1.9,27515.09
Mercedes,B Class,2020,Automatic,42921,Diesel,0,41.1,2.1,32932.51
Toyota,Corolla,2017,Semi-Auto,29565,Electric,30,61.7,1.5,17102.35
Mercedes,C Class,2011,Semi-Auto,43172,Hybrid,150,52.9,1.6,20015.44
Mercedes,GLC Class,2020,Automatic,36535,Diesel,205,47.6,1.9,29785.65
Skoda,Citigo,2023,Manual,45966,Diesel,555,59.8,1.7,20184.28
Hyundai,Tucson,2014,Automatic,36686,Petrol,205,60.8,1.8,15094.31
Vauxhall,Astra,2014,Manual,46575,Hybrid,205,67.2,1.7,12283.49
BMW,X5,2020,Automatic,11486,Electric,205,66.6,2.3,32201.65
VW,Polo,2016,Automatic,29156,Petrol,150,36.2,1.2,16294.04
Ford,Mondeo,2006,Automatic,53999,Electric,205,39.9,2.0,8588.28
BMW,1 Series,2008,Semi-Auto,60248,Diesel,125,58.3,2.3,21188.35
Vauxhall,Mokka,2017,Semi-Auto,62866,Diesel,20,36.1,1.3,11562.15
Mercedes,E Class,2007,Manual,55471,Diesel,125,50.4,1.9,20282.45
VW,T-Roc,2016,Semi-Auto,26713,Petrol,150,56.4,1.7,18352.34
BMW,5 Series,2006,Automatic,92873,Petrol,20,40.4,1.5,16058.25
Ford,Mondeo,2012,Automatic,41373,Diesel,205,49.9,1.6,14000.18
Vauxhall,Astra,2017,Automatic,21248,Diesel,205,64.6,1.2,14466.99
Audi,A5,2019,Automatic,17207,Electric,125,56.7,1.8,28641.41
Mercedes,GLC Class,2007,Automatic,68496,Petrol,150,49.2,2.7,23539.39
Skoda,Fabia,2019,Manual,35680,Hybrid,150,57.0,1.7,15230.94
Toyota,RAV4,2017,Automatic,26483,Petrol,30,63.0,1.5,19382.67
